Archivo utilizado,Propiedad,Valor Obtenido
misc/5.1.10.tiff,Entropía de la fuente,7.32044987651666
misc/5.1.10.tiff,Longitud media del código de Huffman,7.35708847266636
misc/5.1.10.tiff,Varianza del código de Huffman,0.678731160590435
misc/5.1.10.tiff,Eficiencia de la codificación original de la fuente,0.915056234564583
misc/5.1.10.tiff,Eficiencia del nuevo código de Huffman,0.919636059083295
misc/5.1.10.tiff,Memoria original,562488
misc/5.1.10.tiff,Memoria comprimida,499960
misc/5.1.10.tiff,Tasa de compresión,0.111163260371777
misc/5.1.10.tiff,Incoherencias,0
misc/5.1.11.tiff,Entropía de la fuente,6.46001853813384
misc/5.1.11.tiff,Longitud media del código de Huffman,6.48031064412977
misc/5.1.11.tiff,Varianza del código de Huffman,2.27431158311043
misc/5.1.11.tiff,Eficiencia de la codificación original de la fuente,0.80750231726673
misc/5.1.11.tiff,Eficiencia del nuevo código de Huffman,0.810038830516221
misc/5.1.11.tiff,Memoria original,562488
misc/5.1.11.tiff,Memoria comprimida,444376
misc/5.1.11.tiff,Tasa de compresión,0.209981368491417
misc/5.1.11.tiff,Incoherencias,0
misc/5.1.12.tiff,Entropía de la fuente,6.71681248704845
misc/5.1.12.tiff,Longitud media del código de Huffman,6.74507385411908
misc/5.1.12.tiff,Varianza del código de Huffman,3.79840538132798
misc/5.1.12.tiff,Eficiencia de la codificación original de la fuente,0.839601560881056
misc/5.1.12.tiff,Eficiencia del nuevo código de Huffman,0.843134231764885
misc/5.1.12.tiff,Memoria original,562488
misc/5.1.12.tiff,Memoria comprimida,444376
misc/5.1.12.tiff,Tasa de compresión,0.209981368491417
misc/5.1.12.tiff,Incoherencias,0
misc/5.1.13.tiff,Entropía de la fuente,1.56723183304755
misc/5.1.13.tiff,Longitud media del código de Huffman,1.95108877722045
misc/5.1.13.tiff,Varianza del código de Huffman,6.32265718216065
misc/5.1.13.tiff,Eficiencia de la codificación original de la fuente,0.195903979130943
misc/5.1.13.tiff,Eficiencia del nuevo código de Huffman,0.243886097152556
misc/5.1.13.tiff,Memoria original,562488
misc/5.1.13.tiff,Memoria comprimida,136632
misc/5.1.13.tiff,Tasa de compresión,0.757093484661006
misc/5.1.13.tiff,Incoherencias,0
misc/5.1.14.tiff,Entropía de la fuente,7.35173255174721
misc/5.1.14.tiff,Longitud media del código de Huffman,7.36838739150295
misc/5.1.14.tiff,Varianza del código de Huffman,0.834200886626468
misc/5.1.14.tiff,Eficiencia de la codificación original de la fuente,0.918966568968401
misc/5.1.14.tiff,Eficiencia del nuevo código de Huffman,0.921048423937868
misc/5.1.14.tiff,Memoria original,562488
misc/5.1.14.tiff,Memoria comprimida,499960
misc/5.1.14.tiff,Tasa de compresión,0.111163260371777
misc/5.1.14.tiff,Incoherencias,0
misc/5.2.08.tiff,Entropía de la fuente,7.2020663051884
misc/5.2.08.tiff,Longitud media del código de Huffman,7.2336909691242
misc/5.2.08.tiff,Varianza del código de Huffman,1.4051144706015
misc/5.2.08.tiff,Eficiencia de la codificación original de la fuente,0.900258288148549
misc/5.2.08.tiff,Eficiencia del nuevo código de Huffman,0.904211371140525
misc/5.2.08.tiff,Memoria original,2312472
misc/5.2.08.tiff,Memoria comprimida,2055512
misc/5.2.08.tiff,Tasa de compresión,0.111119183280922
misc/5.2.08.tiff,Incoherencias,0
misc/5.2.09.tiff,Entropía de la fuente,6.99760570301029
misc/5.2.09.tiff,Longitud media del código de Huffman,7.02412707127526
misc/5.2.09.tiff,Varianza del código de Huffman,1.63385157692584
misc/5.2.09.tiff,Eficiencia de la codificación original de la fuente,0.874700712876286
misc/5.2.09.tiff,Eficiencia del nuevo código de Huffman,0.878015883909408
misc/5.2.09.tiff,Memoria original,2312472
misc/5.2.09.tiff,Memoria comprimida,2055512
misc/5.2.09.tiff,Tasa de compresión,0.111119183280922
misc/5.2.09.tiff,Incoherencias,0
misc/5.2.10.tiff,Entropía de la fuente,5.70794615879834
misc/5.2.10.tiff,Longitud media del código de Huffman,5.73442301679848
misc/5.2.10.tiff,Varianza del código de Huffman,0.763572374484796
misc/5.2.10.tiff,Eficiencia de la codificación original de la fuente,0.713493269849792
misc/5.2.10.tiff,Eficiencia del nuevo código de Huffman,0.71680287709981
misc/5.2.10.tiff,Memoria original,2312472
misc/5.2.10.tiff,Memoria comprimida,1624056
misc/5.2.10.tiff,Tasa de compresión,0.297697009952985
misc/5.2.10.tiff,Incoherencias,0
misc/5.3.01.tiff,Entropía de la fuente,7.52351141523571
misc/5.3.01.tiff,Longitud media del código de Huffman,7.54840709061611
misc/5.3.01.tiff,Varianza del código de Huffman,0.926929383761759
misc/5.3.01.tiff,Eficiencia de la codificación original de la fuente,0.940438926904464
misc/5.3.01.tiff,Eficiencia del nuevo código de Huffman,0.943550886327014
misc/5.3.01.tiff,Memoria original,8448728
misc/5.3.01.tiff,Memoria comprimida,8448728
misc/5.3.01.tiff,Tasa de compresión,0
misc/5.3.01.tiff,Incoherencias,0
misc/5.3.02.tiff,Entropía de la fuente,6.83142470070929
misc/5.3.02.tiff,Longitud media del código de Huffman,6.86871108314033
misc/5.3.02.tiff,Varianza del código de Huffman,1.43597526177024
misc/5.3.02.tiff,Eficiencia de la codificación original de la fuente,0.853928087588661
misc/5.3.02.tiff,Eficiencia del nuevo código de Huffman,0.858588885392541
misc/5.3.02.tiff,Memoria original,8448728
misc/5.3.02.tiff,Memoria comprimida,7509944
misc/5.3.02.tiff,Tasa de compresión,0.111115424712454
misc/5.3.02.tiff,Incoherencias,0
misc/7.1.01.tiff,Entropía de la fuente,6.03129494806246
misc/7.1.01.tiff,Longitud media del código de Huffman,6.05260067561877
misc/7.1.01.tiff,Varianza del código de Huffman,1.75073136549444
misc/7.1.01.tiff,Eficiencia de la codificación original de la fuente,0.753911868507807
misc/7.1.01.tiff,Eficiencia del nuevo código de Huffman,0.756575084452347
misc/7.1.01.tiff,Memoria original,2312472
misc/7.1.01.tiff,Memoria comprimida,1624056
misc/7.1.01.tiff,Tasa de compresión,0.297697009952985
misc/7.1.01.tiff,Incoherencias,0
misc/7.1.02.tiff,Entropía de la fuente,4.0097246278338
misc/7.1.02.tiff,Longitud media del código de Huffman,4.05537254363635
misc/7.1.02.tiff,Varianza del código de Huffman,3.67998392754524
misc/7.1.02.tiff,Eficiencia de la codificación original de la fuente,0.501215578479224
misc/7.1.02.tiff,Eficiencia del nuevo código de Huffman,0.506921567954544
misc/7.1.02.tiff,Memoria original,2312472
misc/7.1.02.tiff,Memoria comprimida,1140568
misc/7.1.02.tiff,Tasa de compresión,0.506775433389031
misc/7.1.02.tiff,Incoherencias,0
misc/7.1.03.tiff,Entropía de la fuente,5.50011782642107
misc/7.1.03.tiff,Longitud media del código de Huffman,5.52405462905798
misc/7.1.03.tiff,Varianza del código de Huffman,2.8496775915072
misc/7.1.03.tiff,Eficiencia de la codificación original de la fuente,0.687514728302633
misc/7.1.03.tiff,Eficiencia del nuevo código de Huffman,0.690506828632248
misc/7.1.03.tiff,Memoria original,2312472
misc/7.1.03.tiff,Memoria comprimida,1624056
misc/7.1.03.tiff,Tasa de compresión,0.297697009952985
misc/7.1.03.tiff,Incoherencias,0
misc/7.1.04.tiff,Entropía de la fuente,6.10838868975806
misc/7.1.04.tiff,Longitud media del código de Huffman,6.12975545032328
misc/7.1.04.tiff,Varianza del código de Huffman,2.01891185122109
misc/7.1.04.tiff,Eficiencia de la codificación original de la fuente,0.763548586219758
misc/7.1.04.tiff,Eficiencia del nuevo código de Huffman,0.76621943129041
misc/7.1.04.tiff,Memoria original,2312472
misc/7.1.04.tiff,Memoria comprimida,1624056
misc/7.1.04.tiff,Tasa de compresión,0.297697009952985
misc/7.1.04.tiff,Incoherencias,0
misc/7.1.05.tiff,Entropía de la fuente,6.56694915286191
misc/7.1.05.tiff,Longitud media del código de Huffman,6.58612235871827
misc/7.1.05.tiff,Varianza del código de Huffman,0.928770877318185
misc/7.1.05.tiff,Eficiencia de la codificación original de la fuente,0.820868644107739
misc/7.1.05.tiff,Eficiencia del nuevo código de Huffman,0.823265294839784
misc/7.1.05.tiff,Memoria original,2312472
misc/7.1.05.tiff,Memoria comprimida,1827096
misc/7.1.05.tiff,Tasa de compresión,0.20989486575405
misc/7.1.05.tiff,Incoherencias,0
misc/7.1.06.tiff,Entropía de la fuente,6.69860666974824
misc/7.1.06.tiff,Longitud media del código de Huffman,6.72549737301615
misc/7.1.06.tiff,Varianza del código de Huffman,0.901138901729022
misc/7.1.06.tiff,Eficiencia de la codificación original de la fuente,0.83732583371853
misc/7.1.06.tiff,Eficiencia del nuevo código de Huffman,0.840687171627018
misc/7.1.06.tiff,Memoria original,2312472
misc/7.1.06.tiff,Memoria comprimida,1827096
misc/7.1.06.tiff,Tasa de compresión,0.20989486575405
misc/7.1.06.tiff,Incoherencias,0
misc/7.1.07.tiff,Entropía de la fuente,5.99553607046063
misc/7.1.07.tiff,Longitud media del código de Huffman,6.02317388419869
misc/7.1.07.tiff,Varianza del código de Huffman,1.70155006951335
misc/7.1.07.tiff,Eficiencia de la codificación original de la fuente,0.749442008807578
misc/7.1.07.tiff,Eficiencia del nuevo código de Huffman,0.752896735524837
misc/7.1.07.tiff,Memoria original,2312472
misc/7.1.07.tiff,Memoria comprimida,1624056
misc/7.1.07.tiff,Tasa de compresión,0.297697009952985
misc/7.1.07.tiff,Incoherencias,0
misc/7.1.08.tiff,Entropía de la fuente,5.05800684828568
misc/7.1.08.tiff,Longitud media del código de Huffman,5.08071969437036
misc/7.1.08.tiff,Varianza del código de Huffman,3.33343278258381
misc/7.1.08.tiff,Eficiencia de la codificación original de la fuente,0.63225085603571
misc/7.1.08.tiff,Eficiencia del nuevo código de Huffman,0.635089961796295
misc/7.1.08.tiff,Memoria original,2312472
misc/7.1.08.tiff,Memoria comprimida,1443576
misc/7.1.08.tiff,Tasa de compresión,0.375743360352039
misc/7.1.08.tiff,Incoherencias,0
misc/7.1.09.tiff,Entropía de la fuente,6.19384592882171
misc/7.1.09.tiff,Longitud media del código de Huffman,6.21503900441491
misc/7.1.09.tiff,Varianza del código de Huffman,1.53116845542124
